zip,date
27565,2026-02-03
98103,2026-02-03
93210,2026-02-03
07060,2026-02-03
07522,2026-02-03
27249,2026-02-03
88240,2026-02-03
68506,2026-02-03
89032,2026-02-03
28739,2026-02-03
74953,2026-02-03
77007,2026-02-03
11423,2026-02-03
59801,2026-02-03
87532,2026-02-03
23229,2026-02-03
14062,2026-02-03
49504,2026-02-03
39046,2026-02-03
32043,2026-02-03
46254,2026-02-03
94501,2026-02-03
70578,2026-02-03
60643,2026-02-03
76119,2026-02-03
95330,2026-02-03
72015,2026-02-03
43147,2026-02-03
12538,2026-02-03
30548,2026-02-03
45236,2026-02-03
17584,2026-02-03
28278,2026-02-03
46555,2026-02-03
40212,2026-02-03
81008,2026-02-03
40503,2026-02-03
40211,2026-02-03
93933,2026-02-03
36801,2026-02-03
91423,2026-02-03
78730,2026-02-03
28348,2026-02-03
29651,2026-02-03
46319,2026-02-03
11566,2026-02-03
88220,2026-02-03
29223,2026-02-03
44641,2026-02-03
36117,2026-02-03
02122,2026-02-03
38039,2026-02-03
61705,2026-02-03
92879,2026-02-03
89436,2026-02-03
28405,2026-02-03
37209,2026-02-03
82644,2026-02-03
71638,2026-02-03
23185,2026-02-03
27105,2026-02-03
06604,2026-02-03
75473,2026-02-03
91764,2026-02-03
90044,2026-02-03
98665,2026-02-03
33615,2026-02-03
20737,2026-02-03
92660,2026-02-03
01944,2026-02-03
85205,2026-02-03
36801,2026-02-03
91977,2026-02-03
53168,2026-02-03
19120,2026-02-03
75751,2026-02-03
81212,2026-02-03
95020,2026-02-03
95110,2026-02-03
02081,2026-02-03
53204,2026-02-03
11106,2026-02-03
32724,2026-02-03
62016,2026-02-03
78040,2026-02-03
21207,2026-02-03
01201,2026-02-03
77406,2026-02-03
98052,2026-02-03
78650,2026-02-03
77845,2026-02-03
21863,2026-02-03
92808,2026-02-03
85658,2026-02-03
32086,2026-02-03
77035,2026-02-03
29588,2026-02-03
38060,2026-02-03
55304,2026-02-03
19038,2026-02-03
20817,2026-02-03
11411,2026-02-03
55415,2026-02-03
55082,2026-02-03
46562,2026-02-03
00725,2026-02-03
78574,2026-02-03
75028,2026-02-03
97123,2026-02-03
18013,2026-02-03
19468,2026-02-03
78521,2026-02-03
95667,2026-02-03
01880,2026-02-03
99827,2026-02-03
21117,2026-02-03
84606,2026-02-03
75056,2026-02-03
93312,2026-02-03
85392,2026-02-03
27406,2026-02-03
37043,2026-02-03
08343,2026-02-03
48331,2026-02-03
94558,2026-02-03
93635,2026-02-03
63123,2026-02-03
98115,2026-02-03
89179,2026-02-03
21793,2026-02-03
30125,2026-02-03
63114,2026-02-03
10451,2026-02-03
45424,2026-02-03
38257,2026-02-03
49426,2026-02-03
10463,2026-02-03
71270,2026-02-03
59718,2026-02-03
76248,2026-02-03
97140,2026-02-03
67037,2026-02-03
75061,2026-02-03
48851,2026-02-03
06067,2026-02-03
76401,2026-02-03
11803,2026-02-03
92587,2026-02-03
80231,2026-02-03
48820,2026-02-03
11368,2026-02-03
60108,2026-02-03
47111,2026-02-03
31636,2026-02-03
72802,2026-02-03
85085,2026-02-03
33445,2026-02-03
